,company,Address,INBUILDING,EXTBUILDING,POILOGISTIC,ZONE,HouseNum,RoadName,POBOX,zipcode,city,CEDEX,ADDITIONAL,country,codeDep
0,CMA CGM,'4 QUAI D''ARENC 13002 MARSEILLE FRANCE',NONE,NONE,NONE,NONE,4,'QUAI D''ARENC',NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
1,MANUFACTURE FRANCAISE DES PNEUMATIQUES MICHELIN,23 PLACE DES CARMES 63040 CLERMONT FERRAND FRANCE,NONE,NONE,NONE,NONE,23,PLACE DES CARMES,NONE,63040,CLERMONT FERRAND,NONE,NONE,FRANCE,63
2,BLUE WATER SHIPPING,18 QUAI CMDT MALBERT BP 62916 29229 BREST FRANCE,NONE,NONE,NONE,NONE,18,QUAI CMDT MALBERT,BP 62916,29229,BREST,NONE,NONE,FRANCE,29
3,MONDIA SHIPPING FRANCE,15 RUE ETIENNE RICHERAND 69003 LYON FRANCE,NONE,NONE,NONE,NONE,15,RUE ETIENNE RICHERAND,NONE,69003,LYON,NONE,NONE,FRANCE,69
4,SETCARGO DOM,CHEZ MORY GUETAN NOIROT 59/79 RUE ROBERT MOINON 95190 GOUSSAINVILLE FRANCE,NONE,NONE,NONE,NONE,59/79,RUE ROBERT MOINON,NONE,95190,GOUSSAINVILLE,NONE,CHEZ MORY GUETAN NOIROT,FRANCE,95
5,LEON VINCENT,RUE DE COUPEAUVILLE BP 38 76133 EPOUVILLE FRANCE,NONE,NONE,NONE,NONE,NONE,RUE DE COUPEAUVILLE,BP 38,76133,EPOUVILLE,NONE,NONE,FRANCE,76
6,C.STEINWEG,26 AVENUE LEONARD DE VINCI 33600 PESSAC FRANCE,NONE,NONE,NONE,NONE,26,AVENUE LEONARD DE VINCI,NONE,33600,PESSAC,NONE,NONE,FRANCE,33
7,DAHER INTERNATIONAL,AEROPORT MARSEILLE PROVENCE ZONE DE FRET BP 26 13700 MARIGNANE FRANCE,NONE,NONE,AEROPORT MARSEILLE PROVENCE,ZONE DE FRET ,NONE,NONE,BP 26,13700,MARIGNANE,NONE,NONE,FRANCE,13
8,SDV LYON CTM,'CARGOPORT AEROPORT LYON SAINT EXUPERY 275 RUE D''ISLANDE 69125 LYON FRANCE',NONE,NONE,CARGOPORT AEROPORT LYON SAINT EXUPERY,NONE,275,'RUE D''ISLANDE',NONE,69125,LYON,NONE,NONE,FRANCE,69
9,DHL GLOBAL FORWARDING,AEROPORT LYON SAINT EXUPERY CITE FRET BP 307 69125 LYON FRANCE,NONE,NONE,AEROPORT LYON SAINT EXUPERY,CITE FRET,NONE,NONE,BP 307,69125,LYON,NONE,NONE,FRANCE,69
10,SDV LE HAVRE,PARC LOGISTIQUE DU PONT DE NORMANDIE BP 112 76051 LE HAVRE CEDEX FRANCE,NONE,NONE,NONE,PARC LOGISTIQUE DU PONT DE NORMANDIE,NONE,NONE,BP 112,76051,LE HAVRE,CEDEX,NONE,FRANCE,76
11,GKN FREIGHT SERVICES EURL,ZONE ARTISANALE LE PERQUOI 8-10 RUE DES CHAMPS 72560 CHANGE FRANCE,NONE,NONE,NONE,ZONE ARTISANALE LE PERQUOI,8-10,RUE DES CHAMPS,NONE,72560,CHANGE,NONE,NONE,FRANCE,72
12,SCHENKER S.A.S.,ZONE INDUSTRIELLE DE BORDEAUX FRET 33521 BRUGES CEDEX FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE BORDEAUX FRET,NONE,NONE,NONE,33521,BRUGES,CEDEX,NONE,FRANCE,33
13,KLIEMANN TRANPORT MARITIME,'PARC D''ACTIVITE CHESNES LA NOIREE 14 IMPASSE DE MALACOMBE BP 69 38540 SAINT QUENTIN FALLAVIER FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITE CHESNES LA NOIREE',14,IMPASSE DE MALACOMBE,BP 69,38540,SAINT QUENTIN FALLAVIER,NONE,NONE,FRANCE,38
14,ORGANISATION TRANSIT ET SHIPPING,ZAC DE LA LORIE 31 RUE BOBBY SANDS 44813 NANTES FRANCE,NONE,NONE,NONE,ZAC DE LA LORIE,31,RUE BOBBY SANDS,NONE,44813,NANTES,NONE,NONE,FRANCE,44
15,AGENCE MARTIN MONTOIR,'ZONE PORTUAIRE ROUTE D''ACCES AU TMDC 44550 MONTOIR DE BRETAGNE FRANCE',NONE,NONE,NONE,ZONE PORTUAIRE,NONE,'ROUTE D''ACCES AU TMDC',NONE,44550,MONTOIR DE BRETAGNE,NONE,NONE,FRANCE,44
16,SCHENKER S.A.S.,'BOULEVARD DE L''ILE AUX OISEAUX BP 59 76530 GRAND COURONNE FRANCE',NONE,NONE,NONE,NONE,NONE,'BOULEVARD DE L''ILE AUX OISEAUX',BP 59,76530,GRAND COURONNE,NONE,NONE,FRANCE,76
17,MICHELIN,PLACE DES CARMES DECHAUX 63000 CLERMONT FERRAND FRANCE,NONE,NONE,NONE,NONE,NONE,PLACE DES CARMES DECHAUX,NONE,63000,CLERMONT FERRAND,NONE,NONE,FRANCE,63
18,SOGETRA,134 RUE ARISTIDE BRIAND 92300 LEVALLOIS PERRET FRANCE,NONE,NONE,NONE,NONE,134,RUE ARISTIDE BRIAND,NONE,92300,LEVALLOIS PERRET,NONE,NONE,FRANCE,92
19,U.A.T. UNION ARMORICAINE DE TRANSPORTS,6 QUAI DE LA DOUANE 29200 BREST FRANCE,NONE,NONE,NONE,NONE,6,QUAI DE LA DOUANE,NONE,29200,BREST,NONE,NONE,FRANCE,29
20,S.I.T.S.,PORTE 1 BATIMENT G1 51 ROUTE PRINCIPALE DU PORT 92230 GENNEVILLIERS FRANCE,PORTE 1,BATIMENT G1,NONE,NONE,51,ROUTE PRINCIPALE DU PORT,NONE,92230,GENNEVILLIERS,NONE,NONE,FRANCE,92
21,CENTRIMEX -FRANCE,'BOULEVARD DE L''ILE AUX OISEAUX BP 564 76530 GRAND COURONNE FRANCE',NONE,NONE,NONE,NONE,NONE,'BOULEVARD DE L''ILE AUX OISEAUX',BP 564,76530,GRAND COURONNE,NONE,NONE,FRANCE,76
22,MEDITERRANEAN TRADE COMPANY,AVENUE DE ROBION 84300 CAVAILLON FRANCE,NONE,NONE,NONE,NONE,NONE,AVENUE DE ROBION,NONE,84300,CAVAILLON,NONE,NONE,FRANCE,84
23,GONDRAND,AEROPORT BORDEAUX MERIGNAC ZONE DE FRET 13728 MARIGNANE FRANCE,NONE,NONE,AEROPORT MARSEILLE PROVENCE,ZONE DE FRET ,NONE,NONE,NONE,13728,MARIGNANE,NONE,NONE,FRANCE,13
24,TRANSIT DEKEIREL ET HARDEBOLLE S.A.R.L.,30/34 QUAI DES AMERICAINS 59378 DUNKERQUE FRANCE,NONE,NONE,NONE,NONE,30/34,QUAI DES AMERICAINS,NONE,59378,DUNKERQUE,NONE,NONE,FRANCE,59
25,GEODIS WILSON FRANCE,9 RUE FERRER BP 1345 76065 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,9,RUE FERRER,BP 1345,76065,LE HAVRE,NONE,NONE,FRANCE,76
26,MARS CHOCOLAT FRANCE,ROUTE DE SAVERNE BP 60203 67790 STEINBOURG FRANCE,NONE,NONE,NONE,NONE,NONE,ROUTE DE SAVERNE,BP 60203 ,67790,STEINBOURG,NONE,NONE,FRANCE,67
27,MSL GROUPE,4 RUE DENIS PAPIN BP 232 77290 MITRY MORY FRANCE,NONE,NONE,NONE,NONE,4,RUE DENIS PAPIN ,BP 232,77290,MITRY MORY,NONE,NONE,FRANCE,77
28,SEGETRANS,1 RUE LAVIE 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,1,RUE LAVIE,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
29,HECNY FRANCE,CARGOPORT LYON SAINT EXUPERY BP 372 69125 LYON FRANCE,NONE,NONE,CARGOPORT LYON SAINT EXUPERY,NONE,NONE,NONE,BP 372,69125,LYON,NONE,NONE,FRANCE,69
30,CLI TRANSIT,90 CHEMIN DU RUISSEAU MIRABEAU 13016 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,90,CHEMIN DU RUISSEAU MIRABEAU,NONE,13016,MARSEILLE,NONE,NONE,FRANCE,13
31,DHL GLOBAL FORWARDING SAS,'BATIMENT A IMMEUBLE POMMARIN RUE DU ROCHER DE L''ORZIER 38430 MOIRANS FRANCE',NONE,BATIMENT A IMMEUBLE POMMARIN,NONE,NONE,NONE,'RUE DU ROCHER DE L''ORZIER',NONE,38430,MOIRANS,NONE,NONE,FRANCE,38
32,FR-HEPPNER OVERSEAS,ZONE INDUSTRIELLE DU HELLU 7 RUE PAUL LANGEVIN 59260 LEZENNES FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DU HELLU,7,RUE PAUL LANGEVIN,NONE,59260,LEZENNES,NONE,NONE,FRANCE,59
33,DSV AIR & SEA S.A.S,AEROGARE DE FRET 59810 LESQUIN FRANCE,NONE,NONE,AEROGARE DE FRET,NONE,NONE,NONE,NONE,59810,LESQUIN,NONE,NONE,FRANCE,59
34,CARGO LINES SAS,ZAC DU MOULIN 14 RUE DU MEUNIER 95700 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,ZAC DU MOULIN,14,RUE DU MEUNIER ,NONE,95700,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
35,SCHENKER S.A.S.,DOMAINE AEROPORTUAIRE DE NANTES ATLANTIQUE 44340 BOUGUENAIS FRANCE,NONE,NONE,NONE,DOMAINE AEROPORTUAIRE DE NANTES ATLANTIQUE,NONE,NONE,NONE,44340,BOUGUENAIS,NONE,NONE,FRANCE,44
36,EAGLE GLOBAL LOGISTICS FRANCE SAS,151 BOULEVARD DANIELLE CASANOVA 13014 MARSEILLE CEDEX 02 FRANCE,NONE,NONE,NONE,NONE,151,BOULEVARD DANIELLE CASANOVA,NONE,13014,MARSEILLE,CEDEX 02,NONE,FRANCE,13
37,INTER TRANSIT PHARMA,5-7 BOULEVARD DE LA MAISON BLANCHE 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,5-7,BOULEVARD DE LA MAISON BLANCHE,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
38,INTER TRANSIT PRESTATION ET LOGISTIQUE,13-15 CHEMIN DE LA STATION DU CANET 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,13-15,CHEMIN DE LA STATION DU CANET,NONE,13014,MARSEILLE,NONE,NONE,FRANCE,13
39,DT PROJECT,ZONE INDUSTRIELLE DE DEVECEY 25870 DEVECEY FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE DEVECEY,NONE,NONE,NONE,25870,DEVECEY,NONE,NONE,FRANCE,25
40,UTI FRANCE SARL,ZONE DE FRET BP 343 69125 LYON FRANCE,NONE,NONE,NONE,ZONE DE FRET,NONE,NONE,BP 343,69125,LYON ,NONE,NONE,FRANCE,69
41,SEAFRIGO,9 RUE DU PONT VI 76071 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,9,RUE DU PONT VI,NONE,76071,LE HAVRE,NONE,NONE,FRANCE,76
42,SDV RENNES,ZONE DE FRET 7 RUE JACQUELINE AURIOL BP 9138 35136 SAINT JACQUES DE LA LANDE FRANCE,NONE,NONE,NONE,ZONE DE FRET,7,RUE JACQUELINE AURIOL,BP 9138,35136,SAINT JACQUES DE LA LANDE,NONE,NONE,FRANCE,35
43,SDV CERGY,'PARC D''ACTIVITE DES BELLEVUES 2 AVENUE DES BELLEVUES BP 61 95612 ERAGNY FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITE DES BELLEVUES',2,AVENUE DES BELLEVUES,BP 61,95612,ERAGNY,NONE,NONE,FRANCE,95
44,SDV CTM NANTES,ZAC D 2 A 4-6 RUE SANTOS DUMONT 44860 SAINT AIGNAN DE GRANDLIEU FRANCE ,NONE,NONE,NONE,ZAC D 2 A,4-6,RUE SANTOS DUMONT,NONE,44860,SAINT AIGNAN DE GRANDLIEU,NONE,NONE,FRANCE,44
45,SCHENKER S.A.S. ORLY,ZONE SENIA 17-19 RUE DU KEFIR 94310 ORLY FRANCE,NONE,NONE,NONE,ZONE SENIA,17-19,RUE DU KEFIR,NONE,94310,ORLY,NONE,NONE,FRANCE,94
46,PHILCO INTERNATIONAL,35 RUE DU 129 EME RI 76600 LE HAVRE FRANCE ,NONE,NONE,NONE,NONE,35,RUE DU 129 EME RI ,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
47,SETCARGO,'ZONE RVSL BOULEVARD DE L''ILE AUX OISEAUX BP 74 76530 GRAND COURONNE FRANCE',NONE,NONE,NONE,ZONE RVSL ,NONE,'BOULEVARD DE L''ILE AUX OISEAUX',BP 74,76530,GRAND COURONNE,NONE,NONE,FRANCE,76
48,GRAVELEAU DACHSER GROUP,'AGENCE DU HAVRE PARC D''ACTIVITE DE REAUTE 21 RUE VINCENT VAN GOGH BP 52 76290 MONTIVILLIERS FRANCE',NONE,NONE,NONE,'PARC D''ACTIVITE DE REAUTE',21,RUE VINCENT VAN GOGH,BP 52,76290,MONTIVILLIERS,NONE,AGENCE DU HAVRE,FRANCE,76
49,GIORGIO GORI SAS,9 RUE DE GUERLANDE BP 35 71880 CHATENOY LE ROYAL FRANCE,NONE,NONE,NONE,NONE,9,RUE DE GUERLANDE,BP 35 ,71880,CHATENOY LE ROYAL,NONE,NONE,FRANCE,71
50,FC LOGISTIQUE,115 RUE JULES SIEGFRIED 76600 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,115,RUE JULES SIEGFRIED,NONE,76600,LE HAVRE,NONE,NONE,FRANCE,76
51,DHL GLOBAL FORWARDING,AEROPORT MARSEILLE PROVENCE POLE DE FRET 2 13700 MARIGNANE FRANCE,NONE,NONE,AEROPORT MARSEILLE PROVENCE,POLE DE FRET 2,NONE,NONE,NONE,13700,MARIGNANE,NONE,NONE,FRANCE,13
52,DSV AIR & SEA SA,AEROGARE DES AGENTS DE FRET AEROPORT LYON SAINT EXUPERY BP 396 69125 LYON FRANCE,NONE,NONE,AEROGARE DES AGENTS DE FRET AEROPORT LYON SAINT EXUPERY,NONE,NONE,NONE,BP 396,69125,LYON,NONE,NONE,FRANCE,69
53,SEATRANS,30 RUE FAUCHIER 13002 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,30,RUE FAUCHIER,NONE,13002,MARSEILLE,NONE,NONE,FRANCE,13
54,DSV AIR & SEA SAS,PARC MAIL ZAC DE LA DEMI LUNE BP 12439 95707 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,PARC MAIL ZAC DE LA DEMI LUNE,NONE,NONE,BP 12439,95707,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
55,SCHENKER FRANCE SAS,37 ROUTE PRINCIPALE DU PORT CE 214 92637 GENNEVILLIERS FRANCE,NONE,NONE,NONE,NONE,37,ROUTE PRINCIPALE DU PORT,CE 214,92637,GENNEVILLIERS,NONE,NONE,FRANCE,92
56,EMERAUDE INTERNATIONAL,2 RUE DE LA TOUR DES DAMES 75009 PARIS FRANCE,NONE,NONE,NONE,NONE,2,RUE DE LA TOUR DES DAMES,NONE,75009,PARIS,NONE,NONE,FRANCE,75
57,INTERNATIONAL CONTAINER & TRANSPORT,8 RUE DES DEUX CEDRES 95709 ROISSY EN FRANCE FRANCE,NONE,NONE,NONE,NONE,8,RUE DES DEUX CEDRES,NONE,95709,ROISSY EN FRANCE,NONE,NONE,FRANCE,95
58,GALAX SAS,BOULEVARD DE STRASBOURG 76057 LE HAVRE FRANCE,NONE,NONE,NONE,NONE,NONE,BOULEVARD DE STRASBOURG,NONE,76057,LE HAVRE,NONE,NONE,FRANCE,76
59,SDV POITIERS,ZONE INDUSTRIELLE DE LA REPUBLIQUE RUE DES ENTREPRENEURS BP 1072 86061 POITIERS FRANCE,NONE,NONE,NONE,ZONE INDUSTRIELLE DE LA REPUBLIQUE ,NONE,RUE DES ENTREPRENEURS,BP 1072,86061,POITIERS,NONE,NONE,FRANCE,86
60,AUTF - ASSOCIATION DES UTILISATEURS DE TRANSPORT DE FRET,91 RUE DU FBG SAINT HONORE 75008 PARIS FRANCE,NONE,NONE,NONE,NONE,91,RUE DU FBG SAINT HONORE,NONE,75008,PARIS,NONE,NONE,FRANCE,75
61,DHL GLOBAL FORWARDING SAS - INDUSTRIAL PROJECT,BATIMENT LE RENAN 45 RUE DES TROIS SOEUR 93420 VILLEPINTE FRANCE,NONE,BATIMENT LE RENAN,NONE,NONE,45,RUE DES TROIS SOEUR,NONE,93420,VILLEPINTE,NONE,NONE,FRANCE,93
62,UROMAR,BATIMENT 1 CENTRE LBC 11 RUE ETIENNE DOLET 76140 LE PETIT QUEVILLY FRANCE,NONE,BATIMENT 1,NONE,CENTRE LBC ,11,RUE ETIENNE DOLET,NONE,76140,LE PETIT QUEVILLY,NONE,NONE,FRANCE,76
63,GEODIS WILSON FRANCE,206 BOULEVARD DE PLOMBIERES BP 60437 13014 MARSEILLE FRANCE,NONE,NONE,NONE,NONE,206,BOULEVARD DE PLOMBIERES,BP 60437,13014,MARSEILLE,NONE,NONE,FRANCE,13
