,CITY
0,SAINT-REMY-EN-BOUZEMONT-SAINT-GENEST-ET-ISSON
1,SAINT REMY EN BOUZEMONT SAINT GENEST ET ISSON
2,LA VACQUERIE ET SAINT MARTIN DE CASTRIES
3,LA-VACQUERIE-ET-SAINT-MARTIN-DE-CASTRIES
4,BONNEVILLE-ET-SAINT-AVIT-DE-FUMADIERES
5,SAINT-PIERRE-D'ENTREMONT-EN-CHARTREUSE
6,SAINT PIERRE D'ENTREMONT EN CHARTREUSE
7,SAINT QUENTIN LA MOTTE CROIX AU BAILLY
8,SAINT-QUENTIN-LA-MOTTE-CROIX-AU-BAILLY
9,BONNEVILLE ET SAINT AVIT DE FUMADIERES
10,JAVERLHAC ET LA CHAPELLE SAINT ROBERT
11,JAVERLHAC-ET-LA-CHAPELLE-SAINT-ROBERT
12,SAINT-QUENTIN-LAMOTTE-CROIX-AU-BAILLY
13,SAINT QUENTIN LAMOTTE CROIX AU BAILLY
14,DURFORT-ET-SAINT-MARTIN-DE-SOSSENAC
15,DURFORT ET SAINT MARTIN DE SOSSENAC
16,SAINT FELIX DE REILLAC ET MORTEMART
17,SAINT-FELIX-DE-REILLAC-ET-MORTEMART
18,LES AUTHIEUX SUR LE PORT SAINT OUEN
19,LES-AUTHIEUX-SUR-LE-PORT-SAINT-OUEN
20,SAINT-JEAN-SAINT-MAURICE-SUR-LOIRE
21,SAINT JEAN SAINT MAURICE SUR LOIRE
22,SALLES ARBUISSONNAS EN BEAUJOLAIS
23,SALLES-ARBUISSONNAS-EN-BEAUJOLAIS
24,SAINT-GERVAIS-LES-TROIS-CLOCHERS
25,ECLARON-BRAUCOURT-SAINTE-LIVIERE
26,SAINT GERVAIS LES TROIS CLOCHERS
27,SAINT-MICHEL-L'ECLUSE-ET-LEPARON
28,ECLARON BRAUCOURT SAINTE LIVIERE
29,SAINT-PHILBERT-DU-PONT-CHARRAULT
30,SAINT MICHEL L'ECLUSE ET LEPARON
31,SAINT PHILBERT DU PONT CHARRAULT
32,AUTEVIELLE-SAINT-MARTIN-BIDEREN
33,SAINT-MAURICE-AUX-RICHES-HOMMES
34,SAINT MAURICE AUX RICHES HOMMES
35,AUTEVIELLE SAINT MARTIN BIDEREN
36,CHATEAUNEUF D'ILLE ET VILAINE'
37,COISE-SAINT-JEAN-PIED-GAUTHIER
38,TERNUAY MELAY ET SAINT HILAIRE
